time,voltage
0.003,-0.065
0.006,-0.065
0.008,-0.065
0.011,-0.065
0.014,-0.065
0.017,-0.065
0.019,-0.065
0.022,-0.08
0.025,-0.08
0.028,-0.085
0.031,-0.085
0.033,-0.075
0.036,-0.07
0.039,-0.07
0.042,-0.065
0.044,-0.055
0.047,-0.05
0.05,-0.05
0.053,-0.04
0.056,-0.04
0.058,-0.055
0.061,-0.075
0.064,-0.08
0.067,-0.085
0.069,-0.07
0.072,-0.08
0.075,-0.08
0.078,-0.09
0.081,-0.095
0.083,-0.09
0.086,-0.095
0.089,-0.11
0.092,-0.12
0.094,-0.145
0.097,-0.135
0.1,-0.105
0.103,-0.095
0.106,-0.105
0.108,-0.12
0.111,-0.135
0.114,-0.125
0.117,-0.125
0.119,-0.115
0.122,-0.115
0.125,-0.125
0.128,-0.14
0.131,-0.14
0.133,-0.13
0.136,-0.125
0.139,-0.14
0.142,-0.145
0.144,-0.15
0.147,-0.15
0.15,-0.13
0.153,-0.115
0.156,-0.125
0.158,-0.135
0.161,-0.16
0.164,-0.195
0.167,-0.2
0.169,-0.205
0.172,-0.225
0.175,-0.255
0.178,-0.3
0.181,-0.29
0.183,-0.235
0.186,-0.13
0.189,-0.035
0.192,0.05
0.194,0.12
0.197,0.2
0.2,0.31
0.203,0.435
0.206,0.535
0.208,0.58
0.211,0.475
0.214,0.21
0.217,-0.085
0.219,-0.23
0.222,-0.25
0.225,-0.215
0.228,-0.18
0.231,-0.185
0.233,-0.16
0.236,-0.15
0.239,-0.15
0.242,-0.18
0.244,-0.18
0.247,-0.16
0.25,-0.165
0.253,-0.17
0.256,-0.165
0.258,-0.185
0.261,-0.185
0.264,-0.185
0.267,-0.17
0.269,-0.16
0.272,-0.155
0.275,-0.175
0.278,-0.195
0.281,-0.185
0.283,-0.185
0.286,-0.175
0.289,-0.175
0.292,-0.195
0.294,-0.19
0.297,-0.18
0.3,-0.165
0.303,-0.17
0.306,-0.17
0.308,-0.17
0.311,-0.19
0.314,-0.185
0.317,-0.18
0.319,-0.17
0.322,-0.175
0.325,-0.19
0.328,-0.2
0.331,-0.195
0.333,-0.185
0.336,-0.17
0.339,-0.17
0.342,-0.185
0.344,-0.195
0.347,-0.175
0.35,-0.2
0.353,-0.185
0.356,-0.18
0.358,-0.185
0.361,-0.205
0.364,-0.19
0.367,-0.18
0.369,-0.185
0.372,-0.2
0.375,-0.215
0.378,-0.205
0.381,-0.21
0.383,-0.2
0.386,-0.185
0.389,-0.205
0.392,-0.2
0.394,-0.21
0.397,-0.205
0.4,-0.185
0.403,-0.185
0.406,-0.2
0.408,-0.215
0.411,-0.225
0.414,-0.22
0.417,-0.2
0.419,-0.2
0.422,-0.215
0.425,-0.225
0.428,-0.235
0.431,-0.245
0.433,-0.24
0.436,-0.24
0.439,-0.24
0.442,-0.245
0.444,-0.26
0.447,-0.26
0.45,-0.265
0.453,-0.265
0.456,-0.28
0.458,-0.285
0.461,-0.295
